src_port,dst_port,bytes_received,connection_duration_ms,payload_entropy,packet_size,is_repeated_src,label,source_attack_type
6781,9999,491,0,3.387510955370925,0,False,0,normal
50952,9999,146,0,4.09232610381543,0,True,0,normal
43251,9999,0,0,0.803156608038265,0,True,1,neptune
29336,9999,232,0,3.4697361679250194,1024,False,0,normal
28958,9999,199,0,4.611188131333064,420,True,0,normal
56413,9999,0,0,3.1894048026789728,0,True,1,neptune
6568,9999,0,0,1.6101913450134688,0,True,1,neptune
46011,9999,0,0,0.6648894533630274,0,True,1,neptune
14021,9999,0,0,0.588582771238142,0,True,1,neptune
7099,9999,0,0,1.008052536568633,0,True,1,neptune
34987,9999,0,0,2.9806739108044575,0,True,1,neptune
63962,9999,0,0,0.9070703155879036,0,True,1,neptune
48488,9999,287,0,3.520684137164657,1024,False,0,normal
50125,9999,334,0,4.599325794925944,0,False,1,warezclient
47309,9999,0,0,0.8185813996832562,0,True,1,neptune
51733,9999,0,0,1.713039061106341,0,True,1,neptune
34132,9999,300,0,4.006371682602029,1024,True,0,normal
9288,9999,18,0,4.324214465407023,0,False,1,ipsweep
55196,9999,233,0,4.278854821481842,616,False,0,normal
30078,9999,343,0,3.5878626298245737,1024,True,0,normal
33302,9999,0,0,1.1836014607762444,0,True,1,neptune
24944,9999,0,0,1.964166472233553,0,True,1,neptune
12800,9999,253,0,4.125806126550178,1024,True,0,normal
60810,9999,147,5000,4.4506383697798375,105,False,0,normal
51443,9999,0,0,1.3466359222960926,0,True,1,neptune
42560,9999,437,5000,4.153524829182493,1024,False,0,normal
26984,9999,0,0,1.0932393588623732,0,True,1,neptune
54101,9999,227,0,4.27365777956065,1024,False,0,normal
36210,9999,215,0,4.381641273237807,1024,True,0,normal
29629,9999,241,0,3.293917971474464,1024,True,0,normal
30083,9999,8,0,4.123651444548227,0,False,1,ipsweep
15683,9999,0,0,0.9079610596263414,0,True,1,neptune
6967,9999,303,0,3.804236578174146,555,True,0,normal
36800,9999,0,0,3.6479821895142868,0,False,1,portsweep
58302,9999,45,0,3.6334268759680732,45,True,0,normal
5140,9999,105,1000,3.302615469844999,147,False,0,normal
56393,9999,43,0,4.397858112692927,43,True,0,normal
54415,9999,0,0,0.2898030717230554,0,True,1,neptune
18878,9999,324,0,3.0360284610207184,1024,True,0,normal
41773,9999,0,0,1.4541338449949825,0,True,1,neptune
11683,9999,0,0,1.079361125281244,0,True,1,neptune
