src_ip,src_port,dst_port,service_type,timestamp,unix_timestamp,bytes_received,connection_duration_ms,payload_entropy,packet_size,is_repeated_src,src_ip_frequency,payload_printable_ratio,payload_hex_preview,tcp_flags_estimated,label
223.181.113.215,31640,9999,custom,2026-06-16T18:29:59.954588+00:00,1781634599.954588,0,57.729,0.0,0,False,1,0.0,,SYN_ONLY,1
40.124.173.251,53876,9999,custom,2026-06-16T18:56:03.130121+00:00,1781636163.130121,116,0.088,4.9795,116,False,1,0.8966,474554202f20485454502f312e310d0a486f73743a2031362e3137312e313931,DATA,1
40.124.173.251,53882,9999,custom,2026-06-16T18:56:03.393320+00:00,1781636163.39332,27,0.075,3.3521,27,True,2,0.963,4d474c4e44445f31362e3137312e3139312e3130305f393939390a,DATA,1
3.129.187.38,58688,9999,custom,2026-06-17T02:03:19.789703+00:00,1781661799.789703,1,101.888,0.0,1,False,1,0.0,0a,DATA,1
3.129.187.38,28156,9999,custom,2026-06-17T02:03:52.521823+00:00,1781661832.521823,0,176.99,0.0,0,True,2,0.0,,SYN_ONLY,1
3.129.187.38,54876,9999,custom,2026-06-17T02:05:21.331360+00:00,1781661921.33136,0,436.129,0.0,0,True,3,0.0,,SYN_ONLY,1
3.129.187.38,15082,9999,custom,2026-06-17T02:07:41.364323+00:00,1781662061.364323,261,321.57,5.8254,261,True,4,0.249,1603010100010000fc0303b137f315474778b1dc1c3bf4b9923b74bc8d748a43,DATA,1
3.129.187.38,29970,9999,custom,2026-06-17T02:09:54.557973+00:00,1781662194.557973,243,580.519,5.7272,243,True,5,0.1728,16030100ee010000ea030363eedf1ae39d3e6cf3236e465723e61cbf86ddea53,DATA,1
172.208.49.78,38232,9999,custom,2026-06-17T03:14:54.792040+00:00,1781666094.79204,27,0.072,3.3521,27,False,1,0.963,4d474c4e44445f31362e3137312e3139312e3130305f393939390a,DATA,1
127.0.0.1,43218,9999,custom,2026-06-17T05:07:12.169411+00:00,1781672832.169411,5,0.177,1.9219,5,False,1,0.8,746573740a,DATA,1
127.0.0.1,59326,9999,custom,2026-06-17T05:08:27.476529+00:00,1781672907.476529,5,0.074,1.9219,5,True,2,0.8,746573740a,DATA,1
127.0.0.1,47232,9999,custom,2026-06-17T05:31:21.487649+00:00,1781674281.487649,5,0.173,1.9219,5,False,1,0.8,746573740a,DATA,1
